id,category,owner,severity,applies_to,rule,why,verify
skeleton-loaders,ux,frontend,warning,web,"Use skeleton loaders that mirror the final layout. Never a bare spinner for content loading.","A spinner conveys 'something is happening'; a skeleton conveys 'what is coming and where', which removes layout shift and reduces perceived wait.","grep for spinner/loader components; confirm each content-loading state renders a shaped placeholder, not a rotating icon"
tooltips,ux,frontend,warning,web,"Every non-obvious control (icon-only buttons, truncated text, abbreviations, disabled actions) carries a tooltip AND an accessible name.","An icon without a label is a guess. A disabled button without a reason is a dead end.","every icon-only control has aria-label + tooltip; disabled controls explain why"
smooth-scroll,ux,frontend,nit,web,"Enable smooth scrolling for in-page navigation, gated behind prefers-reduced-motion.","Abrupt jumps feel cheap; unconditional smooth scrolling is a vestibular hazard.","scroll-behavior:smooth present AND disabled under @media (prefers-reduced-motion: reduce)"
mobile-responsive,ux,frontend,blocking,web,"EVERY screen must be verified at 375 / 768 / 1024 / 1440 - not just the ones that changed.","Responsiveness regressions hide on the screens nobody re-checked. Partial coverage is how a broken mobile layout ships.","render each route at all four widths; capture evidence per breakpoint; no horizontal overflow, no clipped controls, targets >= 44px"
favicon,polish,frontend,warning,web,"Ship a real favicon set (plus apple-touch-icon and theme-color). ASK the user to supply the artwork rather than inventing one.","A default framework favicon signals unfinished. The brand mark is the user's to provide - guessing it is worse than asking.","favicon links present in head and files resolve 200; if absent, the report must contain an explicit request to the user for artwork"
semantic-html,a11y-seo,frontend,blocking,web,"Choose the exact semantic element for its purpose (header/nav/main/article/section/aside/footer, button vs a, h1-h6 in order).","Semantics are the machine-readable architecture of the page - both crawlers and screen readers depend on them. A div soup is invisible to both.","one h1 per page, no skipped heading levels, landmarks present, no clickable div where a button belongs"
tables-tabular-only,a11y-seo,frontend,blocking,web,"Use HTML tables exclusively for tabular data, with th/scope/caption. NEVER use a table for page layout.","A layout table lies to assistive tech about the content's structure.","every table has th + scope; no table used purely for positioning"
label-every-input,a11y,frontend,blocking,web,"Bind an explicit label to every input via for/id. NEVER use a placeholder as the label.","Placeholders vanish on focus, fail contrast, and are skipped by some screen readers - and a real label enlarges the click target.","each input has a matching label[for]; no input whose only description is a placeholder"
form-error-states,ux,frontend,warning,web,"Design the failure state: explicit, friendly, specific error messages tied to the field. Never rely on default browser validation bubbles.","A form is only as good as its failure state. 'Invalid input' tells the user nothing about how to proceed.","each validation path renders an associated (aria-describedby) message that names the problem and the fix"
no-overfetch-ui,performance,frontend,warning,any,"Load only what the current screen needs - paginate, virtualise long lists, lazy-load below-the-fold media, code-split heavy routes.","Shipping the whole dataset to render ten rows is the most common self-inflicted performance wound.","check payload vs rendered rows; confirm pagination/virtualisation on unbounded lists and lazy-loading on offscreen media"
seo-metadata,a11y-seo,frontend,warning,commercial,"Every route sets a unique title and meta description, plus canonical, Open Graph and structured data where applicable.","Duplicate or missing metadata is the cheapest SEO loss there is.","each route emits a distinct title + description; canonical present; OG tags render"
geo-optimization,a11y-seo,frontend,nit,commercial,"Optimise for Generative Engine Optimization: explicit prose with clear subject-verb connections, low dependency hops, entity clarity, answers to conversational prompts, and unlinked brand mentions.","AI-generated summaries cite content they can parse and attribute. Clear entities and self-contained sentences get cited; clever ambiguity does not.","key pages answer a plain question in the first paragraph; brand/entity named explicitly rather than by pronoun; structured data present"
noindex-private,a11y-seo,frontend,blocking,private,"Private, internal or personal projects must ship noindex (robots meta + robots.txt) and must not be sitemapped.","A private tool indexed by a search engine is a data-exposure incident, not an SEO problem.","robots meta noindex present on every route and robots.txt disallows; verify on the deployed host, not just in source"
no-n-plus-1,performance,backend,blocking,any,"No hidden N+1 queries - eager-load or batch. Inspect the query log, not just the code.","An N+1 looks fine in review and melts under real row counts; it is the classic latent scaling cliff.","enable query logging on a representative request; assert query count does not grow with row count"
db-connection-health,reliability,backend,warning,any,"Connection pool must be bounded, leak-free, and recycle dead connections (timeouts, keepalive, retry on stale).","A leaked or dead connection surfaces as an intermittent production failure nobody can reproduce."," pool max/idle/timeout configured; every acquire has a release path; stale-connection handling present"
caching,performance,backend,warning,any,"Apply appropriate caching (HTTP cache headers, ETags, query/result cache, CDN) WITH an explicit invalidation story.","Caching without an invalidation plan trades a slow bug for a wrong one.","cacheable responses set headers; each cache has a documented invalidation trigger"
rate-limiting,security,backend,blocking,any,"Every public or unauthenticated endpoint is rate limited, keyed sensibly, with a 429 and Retry-After.","An unmetered public endpoint is a free DoS and a free credential-stuffing surface.","hit an endpoint past the limit; confirm 429 + Retry-After and that the key cannot be trivially rotated"
valuable-errors,ux,backend,warning,any,"Errors must be actionable: what failed, why, what to do next, and a correlation id. No bare 500s or leaked stack traces.","An unactionable error costs a support cycle; a leaked stack trace costs a security finding.","trigger each error path; response names the problem and carries a correlation id; no internals leaked"
secrets-in-env,security,security,blocking,any,"No secret may exist in committed code. Secrets live in .env (gitignored) or a secret manager; ship .env.example with empty keys.","A committed secret is not fixed by deleting it - it lives in git history forever and must be rotated.","scan tree AND full git history; confirm .env is gitignored and .env.example holds no values"
privacy-policy,compliance,security,blocking,commercial,"Any commercial or data-collecting project ships a reachable privacy policy (and cookie notice where applicable), linked from the footer.","It is a legal requirement in most jurisdictions the moment you collect anything, including analytics."," /privacy route resolves; linked from global footer; names what is collected and third parties involved"
observability,reliability,devops,warning,any,"Ship a real logging/observability framework - structured logs with levels and correlation ids, error tracking, and basic metrics. Never console.log as production logging.","If you cannot see a failure, you cannot operate the system; unstructured logs are unqueryable at the moment you need them.","structured logger configured with levels; correlation id propagates across a request; errors reach a tracker"
deps-refresh,maintenance,devops,warning,any,"Review dependencies each run: update what is outdated (respecting semver risk) and remove what is unused.","Dependency debt compounds silently until an urgent security patch forces a risky bulk upgrade.","run the ecosystem outdated/audit tool and the unused-dependency check; both reported with a decision per item"
http3,performance,devops,nit,any,"Enable HTTP/3 (QUIC) at the edge alongside HTTP/2 fallback.","Fewer round trips and better recovery on lossy mobile networks, for a config change."," curl --http3 against the deployed host succeeds; Alt-Svc advertised"
tls-hardening,security,devops,warning,any,"Apply HSTS (with sensible max-age), a modern cipher suite, TLS 1.3, and OCSP stapling.","Downgrade and stripping attacks are cheap to prevent at the edge and expensive to explain afterwards.","verify Strict-Transport-Security header, negotiated TLS version/cipher, and stapled OCSP on the deployed host"
per-user-token-caps,ai,ai-engineer,blocking,ai,"Any user-facing AI feature enforces a PER-USER token/cost cap, not only a global budget - checked in a pre-call gate.","A global cap only decides who gets to exhaust it first; one user can spend the whole month's budget.","locate the pre-call gate keyed by user; exceed it in a test and confirm refusal before the model call"
token-streaming,ai,ai-engineer,warning,ai,"Stream tokens to the user for any interactive AI response, with a visible stop control and graceful mid-stream error handling.","Waiting on a complete generation feels broken; streaming makes latency legible and interruptible.","observe incremental delivery over the wire; stop control aborts the request server-side, not just the UI"
code-comments,maintenance,all,nit,any,"Comment the non-obvious: why a decision was made, invariants, units, and gotchas. Not a restatement of the code.","The next developer inherits the reasoning, not just the syntax. A comment explaining 'why' survives a refactor that deletes the 'what'.","non-obvious branches carry a rationale; no comment merely narrates the line below it"
